id,id_out,year,count
fordham,TRO,1871,1
villanova,ROK,1871,2
dartmouth,ECK,1872,1
fordham,TRO,1872,1
villanova,PNA,1872,1
fordham,NNA,1873,1
villanova,PWS,1873,1
yale,RES,1873,1
villanova,PWS,1874,1
yale,NHV,1875,2
fordham,NYU,1876,1
setonhall,NYU,1876,1
villanova,SBS,1876,1
princeton,SBS,1877,1
washleeva,LGR,1877,1
michigan,MLG,1878,1
pennst,PRO,1878,2
brown,ATL,1879,2
brown,PRO,1879,1
harvard,ATL,1879,2
pennst,PRO,1879,2
brown,WOR,1880,2
nyuroch,BUF,1880,3
pennst,PRO,1880,2
unionny,TRT,1880,2
villanova,BUF,1880,1
brown,WOR,1881,2
nyuroch,DTN,1881,2
pennst,PRO,1881,2
stmarysca,PRO,1881,1
unionny,DTN,1881,2
brown,WOR,1882,2
genevapa,PIT,1882,1
nyuroch,DTN,1882,3
pennst,PRO,1882,2
stmarysca,PRO,1882,1
unionny,PHA,1882,2
unionny,PHQ,1882,2
unionny,WOR,1882,4
villanova,LOU,1882,1
brown,PRO,1883,2
casewestrn,CBL,1883,2
cornell,SFG,1883,1
nyuroch,DTN,1883,2
pennst,SFG,1883,2
stmarysca,PRO,1883,1
unionny,CBK,1883,2
villanova,PIT,1883,1
yale,ATL,1883,1
yale,CBK,1883,1
yale,DTN,1883,2
yale,PHA,1883,3
yale,PHQ,1883,3
bostoncoll,ATL,1884,1
brown,BRD,1884,2
brown,PRO,1884,1
brown,WIL,1884,2
brown,WNA,1884,2
casewestrn,PHI,1884,1
cornell,SFG,1884,1
cornell,TOL,1884,1
cornell,WNA,1884,1
cornell,WST,1884,2
holycross,PRO,1884,2
manhattan,SFG,1884,1
michigan,CHC,1884,2
michigan,TOL,1884,1
nyuroch,DTN,1884,3
oberlinoh,TOL,1884,1
pennst,SFG,1884,2
rutgers,CBL,1884,2
stmarysca,PHI,1884,2
stmarysca,PRO,1884,1
unionny,CBK,1884,2
unionny,STL,1884,1
yale,KCU,1884,2
yale,PHI,1884,2
bostoncoll,ATL,1885,1
brown,PRO,1885,1
casewestrn,PHI,1885,1
cornell,DTN,1885,1
nyuroch,DTN,1885,2
pennst,SFG,1885,1
rutgers,LAD,1885,2
stmarysca,PHI,1885,1
stmarysca,PRO,1885,1
unionny,BUF,1885,1
unionny,CHC,1885,1
unionny,PIT,1885,2
yale,PHA,1885,2
yale,PHI,1885,2
yale,PHQ,1885,2
akron,LOU,1886,2
bostoncoll,ATL,1886,1
brown,CIN,1886,2
brown,KCN,1886,1
casewestrn,PHI,1886,1
manhattan,SFG,1886,1
nyuroch,KCN,1886,2
pennst,SFG,1886,1
princeton,CIN,1886,2
rutgers,LAD,1886,2
stmarysca,PHI,1886,2
stmarysca,SLM,1886,1
unionny,LAD,1886,1
unionny,PIT,1886,2
akron,LOU,1887,2
bostoncoll,PHI,1887,1
brown,IND,1887,1
casewestrn,PHI,1887,1
fordham,IND,1887,2
newyorku,PHA,1887,1
newyorku,PHQ,1887,1
nyuroch,DTN,1887,2
nyuroch,NYP,1887,2
nyuroch,SFG,1887,2
pennst,CHC,1887,2
pennst,SFG,1887,1
rutgers,LAD,1887,2
stmarysca,IND,1887,1
stmarysca,PHI,1887,2
bostoncoll,PHA,1888,1
bostoncoll,PHQ,1888,1
brown,IND,1888,1
casewestrn,PHI,1888,1
dartmouth,CIN,1888,2
harvard,PHI,1888,2
hobartny,CHC,1888,2
newyorku,PHA,1888,1
newyorku,PHQ,1888,1
nyuroch,SFG,1888,2
pennst,CHC,1888,2
pennst,SFG,1888,1
princeton,PHI,1888,1
roanokeva,PHI,1888,2
rutgers,BLO,1888,2
stmarysca,IND,1888,2
stmarysca,PHI,1888,1
bostoncoll,PHA,1889,1
bostoncoll,PHQ,1889,1
brown,IND,1889,1
casewestrn,IND,1889,1
casewestrn,PHI,1889,1
dartmouth,CIN,1889,2
hobartny,CHC,1889,2
pennst,CLS,1889,2
pennst,SFG,1889,1
roanokeva,PHI,1889,2
stmarysca,IND,1889,1
stmarysca,PHI,1889,2
yale,CHC,1889,2
akron,STL,1890,2
brown,SFG,1890,2
bucknell,CIN,1890,2
casewestrn,BWW,1890,1
cornell,LOU,1890,1
dartmouth,CIN,1890,2
dartmouth,CLV,1890,2
hobartny,CHP,1890,2
holycross,SYS,1890,2
newyorku,BLO,1890,1
notredame,CLI,1890,2
pennst,BWW,1890,1
pennst,CHC,1890,2
pennst,CHP,1890,2
pennst,PIT,1890,2
roanokeva,PHQ,1890,2
stmarysca,PHQ,1890,1
stmarysca,SFG,1890,1
syracuse,BRG,1890,1
upenn,PHI,1890,2
upenn,PIT,1890,2
yale,CHC,1890,2
