id,name_full,type
WSN,Washington Nationals,mlb
TOR,Toronto Blue Jays,mlb
TEX,Texas Rangers,mlb
TBD,Tampa Bay Rays,mlb
STL,St. Louis Cardinals,mlb
SFG,San Francisco Giants,mlb
SEA,Seattle Mariners,mlb
SDP,San Diego Padres,mlb
PIT,Pittsburgh Pirates,mlb
PHI,Philadelphia Phillies,mlb
OAK,Oakland Athletics,mlb
NYM,New York Mets,mlb
NYY,New York Yankees,mlb
MIN,Minnesota Twins,mlb
MIL,Milwaukee Brewers,mlb
FLA,Miami Marlins,mlb
LAD,Los Angeles Dodgers,mlb
ANA,Los Angeles Angels of Anaheim,mlb
KCR,Kansas City Royals,mlb
HOU,Houston Astros,mlb
DET,Detroit Tigers,mlb
COL,Colorado Rockies,mlb
CLE,Cleveland Indians,mlb
CIN,Cincinnati Reds,mlb
CHC,Chicago Cubs,mlb
CHW,Chicago White Sox,mlb
BOS,Boston Red Sox,mlb
BAL,Baltimore Orioles,mlb
ATL,Atlanta Braves,mlb
ARI,Arizona Diamondbacks,mlb
SLI,St. Louis Terriers,mlb
PBS,Pittsburgh Rebels,mlb
NEW,Newark Pepper,mlb
KCP,Kansas City Packers,mlb
CHH,Chicago Whales,mlb
BFL,Buffalo Blues,mlb
BTT,Brooklyn Tip-Tops,mlb
BLT,Baltimore Terrapins,mlb
WAS,Washington Senators,mlb
LOU,Louisville Colonels,mlb
CLV,Cleveland Spiders,mlb
BLO,Baltimore Orioles,mlb
PHQ,Philadelphia Athletics,mlb
MLA,Milwaukee Brewers,mlb
CKK,Cincinnati Kelly's Killers,mlb
CLS,Columbus Solons,mlb
BRS,Boston Reds,mlb
SYS,Syracuse Stars,mlb
PHA,Philadelphia Athletics,mlb
CLI,Cleveland Infants,mlb
CHP,Chicago Pirates,mlb
BWW,Brooklyn Ward's Wonders,mlb
BRG,Brooklyn Gladiators,mlb
IND,Indianapolis Hoosiers,mlb
DTN,Detroit Wolverines,mlb
NYP,New York Metropolitans,mlb
SLM,St. Louis Maroons,mlb
KCN,Kansas City Cowboys,mlb
PRO,Providence Grays,mlb
BUF,Buffalo Bisons,mlb
WNA,Washington Nationals,mlb
WST,Washington Nationals,mlb
WIL,Wilmington Quicksteps,mlb
TOL,Toledo Blue Stockings,mlb
KCU,Kansas City Cowboys,mlb
CBK,Columbus Buckeyes,mlb
CBL,Cleveland Blues,mlb
BRD,Boston Reds,mlb
WOR,Worcester Ruby Legs,mlb
TRT,Troy Trojans,mlb
MLG,Milwaukee Grays,mlb
SBS,St. Louis Brown Stockings,mlb
LGR,Louisville Grays,mlb
NYU,New York Mutuals,mlb
PWS,Philadelphia Whites,mlb
PNA,Philadelphia Athletics,mlb
NNA,New York Mutuals,mlb
NHV,New Haven Elm Citys,mlb
RES,Elizabeth Resolutes,mlb
TRO,Troy Haymakers,mlb
ECK,Brooklyn Eckfords,mlb
ROK,Rockford Forest Citys,mlb
youngst,Youngstown State University,college
yale,Yale University,college
xavier,Xavier University,college
wyoming,University of Wyoming,college
wwashngton,Western Washington University,college
wvwesleyan,West Virginia Wesleyan College,college
wvstate,West Virginia State University,college
wvpotom,Potomac State College,college
wvirginia,West Virginia University,college
wshngtonmo,Washington University in St. Louis,college
wrightst,Wright State University,college
wpaterson,William Paterson University,college
woosteroh,College of Wooster,college
wofford,Wofford College,college
wminsterpa,Westminster College,college
wminstermo,Westminster College,college
wmichigan,Western Michigan University,college
wlmpennia,William Penn University,college
wlmjewell,William Jewell College,college
wlibertyst,West Liberty State College,college
wkentucky,Western Kentucky University,college
wiwhitewtr,University of Wisconsin at Whitewater,college
wittnbrgoh,Wittenberg University,college
wistvnspt,University of Wisconsin at Stevens Point,college
wisconsin,University of Wisconsin at Madison,college
wisacre,Sacred Heart College,college
wioshkosh,University of Wisconsin at Oshkosh,college
winthrop,Winthrop University,college
winstsalst,Winston-Salem State University,college
wingate,Wingate University,college
willmary,College of William and Mary,college
willinois,Western Illinois University,college
williamsma,Williams College,college
willamette,Willamette University,college
wilkespa,Wilkes University,college
wileytx,Wiley College,college
wilbrforce,Wilberforce University,college
wilacrosse,University of Wisconsin at La Crosse,college
widenerpa,Widener University,college
wichitast,Wichita State University,college
whitwrthwa,Whitworth College,college
whittierca,Whittier College,college
whitmanwa,Whitman College,college
wheatonma,Wheaton College,college
wflorida,University of West Florida,college
westmontca,Westmont College,college
wesleyanct,Wesleyan University,college
weberst,Weber State College,college
wchester,West Chester University of Pennsylvania,college
wcarolina,Western Carolina University,college
waynest,Wayne State University,college
wayakim,Yakima Valley Community College,college
wawalla,Walla Walla Community College,college
watacom,Tacoma Community College,college
washst,Washington State University,college
washleeva,Washington and Lee University,college
washjeffpa,Washington and Jefferson College,college
washington,University of Washington,college
washcollmd,Washington College,college
washburn,Washburn University,college
wasfcco,Spokane Falls Community College,college
warnerpac,Warner Pacific College,college
walower,Lower Columbia College,college
walabama,University of West Alabama,college
wake,Wake Forest University,college
wagreen,Green River Community College,college
wagner,Wagner College,college
waevere,Everett Community College,college
waedmon,Edmonds Community College,college
wacolum,Columbia Basin College,college
waclark,Clark College,college
wacentr,Centralia College,college
wabelle,Bellevue Community College,college
wabashin,Wabash College,college
viterbowi,Viterbo University,college
virginiast,Virginia State University,college
virginia,University of Virginia,college
villanova,Villanova University,college
vermont,University of Vermont,college
vcu,Virginia Commonwealth University,college
