id,name_full
WSN,Washington Nationals
TOR,Toronto Blue Jays
TEX,Texas Rangers
TBD,Tampa Bay Rays
STL,St. Louis Cardinals
SFG,San Francisco Giants
SEA,Seattle Mariners
SDP,San Diego Padres
PIT,Pittsburgh Pirates
PHI,Philadelphia Phillies
OAK,Oakland Athletics
NYM,New York Mets
NYY,New York Yankees
MIN,Minnesota Twins
MIL,Milwaukee Brewers
FLA,Miami Marlins
LAD,Los Angeles Dodgers
ANA,Los Angeles Angels of Anaheim
KCR,Kansas City Royals
HOU,Houston Astros
DET,Detroit Tigers
COL,Colorado Rockies
CLE,Cleveland Indians
CIN,Cincinnati Reds
CHC,Chicago Cubs
CHW,Chicago White Sox
BOS,Boston Red Sox
BAL,Baltimore Orioles
ATL,Atlanta Braves
ARI,Arizona Diamondbacks
SLI,St. Louis Terriers
PBS,Pittsburgh Rebels
NEW,Newark Pepper
KCP,Kansas City Packers
CHH,Chicago Whales
BFL,Buffalo Blues
BTT,Brooklyn Tip-Tops
BLT,Baltimore Terrapins
WAS,Washington Senators
LOU,Louisville Colonels
CLV,Cleveland Spiders
BLO,Baltimore Orioles
PHQ,Philadelphia Athletics
MLA,Milwaukee Brewers
CKK,Cincinnati Kelly's Killers
CLS,Columbus Solons
BRS,Boston Reds
TLM,Toledo Maumees
SYS,Syracuse Stars
ROC,Rochester Broncos
PBB,Pittsburgh Burghers
PHA,Philadelphia Athletics
NYI,New York Giants
CLI,Cleveland Infants
CHP,Chicago Pirates
BWW,Brooklyn Ward's Wonders
BRG,Brooklyn Gladiators
BFB,Buffalo Bisons
WNL,Washington Nationals
KCC,Kansas City Cowboys
IND,Indianapolis Hoosiers
DTN,Detroit Wolverines
NYP,New York Metropolitans
SLM,St. Louis Maroons
KCN,Kansas City Cowboys
PRO,Providence Grays
BUF,Buffalo Bisons
WNA,Washington Nationals
WST,Washington Nationals
WIL,Wilmington Quicksteps
TOL,Toledo Blue Stockings
STP,St. Paul White Caps
RIC,Richmond Virginians
PHK,Philadelphia Keystones
MLU,Milwaukee Brewers
KCU,Kansas City Cowboys
IHO,Indianapolis Hoosiers
COR,Cincinnati Outlaw Reds
CBK,Columbus Buckeyes
CBL,Cleveland Blues
CPI,Chicago/Pittsburgh (Union League)
BRD,Boston Reds
BLU,Baltimore Monumentals
ALT,Altoona Mountain City
WOR,Worcester Ruby Legs
TRT,Troy Trojans
CNR,Cincinnati Reds
SYR,Syracuse Stars
MLG,Milwaukee Grays
IBL,Indianapolis Blues
SBS,St. Louis Brown Stockings
LGR,Louisville Grays
HAR,Hartford Dark Blues
ATH,Philadelphia Athletics
NYU,New York Mutuals
WNT,Washington Nationals
SNA,St. Louis Brown Stockings
SLR,St. Louis Red Stockings
CEN,Philadelphia Centennials
PWS,Philadelphia Whites
PNA,Philadelphia Athletics
NNA,New York Mutuals
NHV,New Haven Elm Citys
WES,Keokuk Westerns
HNA,Hartford Dark Blues
CNA,Chicago White Stockings
BNA,Boston Red Stockings
BRA,Brooklyn Atlantics
BLC,Baltimore Canaries
WBL,Washington Blue Legs
RES,Elizabeth Resolutes
MAR,Baltimore Marylands
NAT,Washington Nationals
OLY,Washington Olympics
TRO,Troy Haymakers
MAN,Middletown Mansfields
CFC,Cleveland Forest Citys
ECK,Brooklyn Eckfords
ROK,Rockford Forest Citys
KEK,Fort Wayne Kekiongas
